chemical_id	chemical_name	compound_type	molecular_formula	molecular_weight	role_in_bioprocess	chebi_id	pubchem_id	chembl_id	properties	Download URL	source
CHEBI:52927	Europium(III) cation	lanthanide	Eu3+	151.964	TRL assay probe for REE detection	CHEBI:52927	165668		"{""oxidation_state"": ""+3"", ""ionic_radius"": ""0.95 Angstrom"", ""f-f_transition"": ""5D0→7F2 (615 nm)"", ""luminescence"": ""red emission""}"	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52927	extend1
CHEBI:52928	Terbium(III) cation	lanthanide	Tb3+	158.925	TRL assay probe for REE detection	CHEBI:52928	165669		"{""oxidation_state"": ""+3"", ""ionic_radius"": ""0.92 Angstrom"", ""f-f_transition"": ""5D4→7F5 (544 nm)"", ""luminescence"": ""green emission""}"	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52928	extend1
Custom_ML001	Methylolanthanin	lanthanophore	C30H42N6O15	730.69	Lanthanide chelation and transport	CHEBI:138675	136161579		"{""metal_binding"": ""high affinity for La/Ce/Nd"", ""producer"": ""Methylobacterium extorquens"", ""structure"": ""hydroxamate-type siderophore""}"	https://pubchem.ncbi.nlm.nih.gov/compound/136161579	extend1|10.1038/nature16174|10.1073/pnas.1600558113|10.1038/nchembio.1947|PMID:38269599|PMID:31421721|PMID:31552950|PMID:40328142|PMID:36719530|PMID:24816778|PMID:28686571|PMID:25943904|10.1101/2023.08.22.554321v1|10.3389/fbioe.2023.1130939
PubChem:104897	lanthanum(3+)	lanthanide	La+3		TRL assay probe for REE detection		104897		"{""source"": ""PubChem"", ""iupac_name"": ""lanthanum(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/104897	extend1
PubChem:105159	europium(3+)	lanthanide	Eu+3		TRL assay probe for REE detection		105159		"{""source"": ""PubChem"", ""iupac_name"": ""europium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/105159	extend1
PubChem:168050	gadolinium(3+)	lanthanide	Gd+3		TRL assay probe for REE detection		168050		"{""source"": ""PubChem"", ""iupac_name"": ""gadolinium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/168050	extend1
PubChem:168051	terbium(3+)	lanthanide	Tb+3		TRL assay probe for REE detection		168051		"{""source"": ""PubChem"", ""iupac_name"": ""terbium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/168051	extend1
PubChem:185493	holmium(3+)	lanthanide	Ho+3		TRL assay probe for REE detection		185493		"{""source"": ""PubChem"", ""iupac_name"": ""holmium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/185493	extend1
PubChem:105055	ytterbium(3+)	lanthanide	Yb+3		TRL assay probe for REE detection		105055		"{""source"": ""PubChem"", ""iupac_name"": ""ytterbium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/105055	extend1
PubChem:185495	lutetium(3+)	lanthanide	Lu+3		TRL assay probe for REE detection		185495		"{""source"": ""PubChem"", ""iupac_name"": ""lutetium(3+)""}"	https://pubchem.ncbi.nlm.nih.gov/compound/185495	extend1
CHEBI:138675	Methylolanthanin	lanthanophore	C30H42N6O15	730.69	Lanthanide chelation and transport	CHEBI:138675	136161579		"{""source"": ""CHEBI"", ""metal_binding"": ""high affinity for La/Ce/Nd"", ""producer"": ""Methylobacterium extorquens"", ""structure"": ""hydroxamate-type siderophore""}"	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:138675	extend1|10.1038/nature16174|10.1073/pnas.1600558113|10.1038/nchembio.1947|PMID:38269599|PMID:31421721|PMID:31552950|PMID:40328142|PMID:36719530|PMID:24816778|PMID:28686571|PMID:25943904|10.1101/2023.08.22.554321v1|10.3389/fbioe.2023.1130939
